epoch,lr-AdamW,step,train/n_events,train/nll,val/n_events,val/nll
,0.0003,0,,,,
0,,1,,,208.0,8.685297012329102
0,,1,505.0843505859375,8.903377532958984,,
,0.0003,2,,,,
1,,3,,,208.0,8.22619915008545
1,,3,498.0361328125,8.382527351379395,,
,0.0003,4,,,,
2,,5,,,208.0,7.782275676727295
2,,5,503.45782470703125,7.943647384643555,,
,0.0003,6,,,,
3,,7,,,208.0,7.3129987716674805
3,,7,493.1566162109375,7.511128902435303,,
,0.0003,8,,,,
4,,9,,,208.0,6.821781635284424
4,,9,508.33734130859375,7.059122085571289,,
,0.0003,10,,,,
5,,11,,,208.0,6.3200178146362305
5,,11,512.6746826171875,6.579561710357666,,
,0.0003,12,,,,
6,,13,,,208.0,5.817488670349121
6,,13,511.5903625488281,6.101444721221924,,
,0.0003,14,,,,
7,,15,,,208.0,5.325987815856934
7,,15,499.1204833984375,5.60977029800415,,
,0.0003,16,,,,
8,,17,,,208.0,4.8615593910217285
8,,17,506.7108459472656,5.143420219421387,,
,0.0003,18,,,,
9,,19,,,208.0,4.443517208099365
9,,19,513.2168579101562,4.6975884437561035,,
,0.0003,20,,,,
10,,21,,,208.0,4.091236114501953
10,,21,509.42169189453125,4.301602840423584,,
,0.0003,22,,,,
11,,23,,,208.0,3.820986270904541
11,,23,493.1566162109375,3.9730310440063477,,
,0.0003,24,,,,
12,,25,,,208.0,3.6421432495117188
12,,25,518.6385498046875,3.7203123569488525,,
,0.0003,26,,,,
13,,27,,,208.0,3.550780773162842
13,,27,506.1686706542969,3.558246374130249,,
,0.0003,28,,,,
14,,29,,,208.0,3.5191996097564697
14,,29,511.5903625488281,3.4761226177215576,,
,0.0003,30,,,,
15,,31,,,208.0,3.5032923221588135
15,,31,500.204833984375,3.4504940509796143,,
,0.0003,32,,,,
16,,33,,,208.0,3.4712958335876465
16,,33,504.54217529296875,3.4341344833374023,,
,0.0003,34,,,,
17,,35,,,208.0,3.4191064834594727
17,,35,506.7108459472656,3.39859676361084,,
,0.0003,36,,,,
18,,37,,,208.0,3.361287832260132
18,,37,504.54217529296875,3.3442015647888184,,
,0.0003,38,,,,
19,,39,,,208.0,3.3210225105285645
19,,39,494.78314208984375,3.283930778503418,,
,0.0003,40,,,,
20,,41,,,208.0,3.3108060359954834
20,,41,507.2530212402344,3.2460083961486816,,
,0.0003,42,,,,
21,,43,,,208.0,3.303720712661743
21,,43,502.3735046386719,3.2326254844665527,,
,0.0003,44,,,,
22,,45,,,208.0,3.2860143184661865
22,,45,500.204833984375,3.2228739261627197,,
,0.0003,46,,,,
23,,47,,,208.0,3.261618137359619
23,,47,508.33734130859375,3.2047464847564697,,
,0.0003,48,,,,
24,,49,,,208.0,3.2399468421936035
24,,49,516.4699096679688,3.1822075843811035,,
,0.0003,50,,,,
25,,51,,,208.0,3.2287278175354004
25,,51,500.204833984375,3.166447877883911,,
,0.0003,52,,,,
26,,53,,,208.0,3.2220141887664795
26,,53,501.2891540527344,3.1594767570495605,,
,0.0003,54,,,,
27,,55,,,208.0,3.214674234390259
27,,55,510.5060119628906,3.1541006565093994,,
,0.0003,56,,,,
28,,57,,,208.0,3.2114269733428955
28,,57,498.57830810546875,3.1457531452178955,,
,0.0003,58,,,,
29,,59,,,208.0,3.213809013366699
29,,59,514.8433837890625,3.1416869163513184,,
,0.0003,60,,,,
30,,61,,,208.0,3.2105712890625
30,,61,502.9156494140625,3.1413395404815674,,
,0.0003,62,,,,
31,,63,,,208.0,3.2028486728668213
31,,63,506.7108459472656,3.1383824348449707,,
,0.0003,64,,,,
32,,65,,,208.0,3.1996450424194336
32,,65,498.0361328125,3.1346042156219482,,
,0.0003,66,,,,
33,,67,,,208.0,3.198378324508667
33,,67,494.78314208984375,3.1338562965393066,,
,0.0003,68,,,,
34,,69,,,208.0,3.1972250938415527
34,,69,503.45782470703125,3.1323740482330322,,
,0.0003,70,,,,
35,,71,,,208.0,3.198716402053833
35,,71,506.7108459472656,3.130128860473633,,
,0.0003,72,,,,
36,,73,,,208.0,3.199289083480835
36,,73,509.9638671875,3.1304783821105957,,
,0.0003,74,,,,
37,,75,,,208.0,3.1960549354553223
37,,75,505.0843505859375,3.130068302154541,,
,0.0003,76,,,,
38,,77,,,208.0,3.1946725845336914
38,,77,505.0843505859375,3.128312826156616,,
,0.0003,78,,,,
39,,79,,,208.0,3.193091869354248
39,,79,502.9156494140625,3.1285033226013184,,
,0.0003,80,,,,
40,,81,,,208.0,3.192521810531616
40,,81,510.5060119628906,3.127419948577881,,
,0.0003,82,,,,
41,,83,,,208.0,3.1954610347747803
41,,83,499.1204833984375,3.1258914470672607,,
,0.0003,84,,,,
42,,85,,,208.0,3.1975762844085693
42,,85,504.54217529296875,3.1273460388183594,,
,0.0003,86,,,,
43,,87,,,208.0,3.1934609413146973
43,,87,504.0,3.1278371810913086,,
,0.0003,88,,,,
44,,89,,,208.0,3.189807891845703
44,,89,509.42169189453125,3.1247668266296387,,
,0.0003,90,,,,
45,,91,,,208.0,3.1901638507843018
45,,91,496.9518127441406,3.1250853538513184,,
,0.0003,92,,,,
46,,93,,,208.0,3.1882221698760986
46,,93,501.8313293457031,3.1259093284606934,,
,0.0003,94,,,,
47,,95,,,208.0,3.1879448890686035
47,,95,501.8313293457031,3.1223926544189453,,
,0.0003,96,,,,
48,,97,,,208.0,3.1886918544769287
48,,97,498.57830810546875,3.1190311908721924,,
,0.0003,98,,,,
49,,99,,,208.0,3.1788201332092285
49,,99,515.927734375,3.1161599159240723,,
