epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,6,,,260.7200012207031,3.4029381275177
0,,6,278.0799865722656,4.589422702789307,,
,0.001,7,,,,
1,,13,,,260.7200012207031,2.8240997791290283
1,,13,275.79998779296875,3.078498125076294,,
,0.001,14,,,,
2,,20,,,260.7200012207031,2.753218650817871
2,,20,276.0400085449219,2.8084499835968018,,
,0.001,21,,,,
3,,27,,,260.7200012207031,2.6597204208374023
3,,27,277.239990234375,2.735048770904541,,
,0.001,28,,,,
4,,34,,,260.7200012207031,2.5974280834198
4,,34,276.1600036621094,2.6551787853240967,,
,0.001,35,,,,
5,,41,,,260.7200012207031,2.548358201980591
5,,41,275.79998779296875,2.6160430908203125,,
,0.001,42,,,,
6,,48,,,260.7200012207031,2.500392436981201
6,,48,276.0400085449219,2.5871124267578125,,
,0.001,49,,,,
7,,55,,,260.7200012207031,2.4741475582122803
7,,55,277.0,2.555053949356079,,
,0.001,56,,,,
8,,62,,,260.7200012207031,2.4764740467071533
8,,62,277.9599914550781,2.533210277557373,,
,0.001,63,,,,
9,,69,,,260.7200012207031,2.467407464981079
9,,69,278.32000732421875,2.5089333057403564,,
,0.001,70,,,,
10,,76,,,260.7200012207031,2.465533971786499
10,,76,277.4800109863281,2.510605573654175,,
,0.001,77,,,,
11,,83,,,260.7200012207031,2.465102434158325
11,,83,275.67999267578125,2.499164342880249,,
,0.001,84,,,,
12,,90,,,260.7200012207031,2.4614784717559814
12,,90,277.9599914550781,2.4779908657073975,,
,0.001,91,,,,
13,,97,,,260.7200012207031,2.463045120239258
13,,97,276.3999938964844,2.4741337299346924,,
,0.001,98,,,,
14,,104,,,260.7200012207031,2.446883201599121
14,,104,277.0,2.4737768173217773,,
,0.001,105,,,,
15,,111,,,260.7200012207031,2.452059268951416
15,,111,277.9599914550781,2.462822914123535,,
,0.001,112,,,,
16,,118,,,260.7200012207031,2.440432071685791
16,,118,277.4800109863281,2.460033655166626,,
,0.001,119,,,,
17,,125,,,260.7200012207031,2.4286160469055176
17,,125,275.32000732421875,2.453700065612793,,
,0.001,126,,,,
18,,132,,,260.7200012207031,2.432384490966797
18,,132,276.0400085449219,2.4394407272338867,,
,0.001,133,,,,
19,,139,,,260.7200012207031,2.437373638153076
19,,139,274.9599914550781,2.425779104232788,,
,0.001,140,,,,
20,,146,,,260.7200012207031,2.4215025901794434
20,,146,275.55999755859375,2.4202823638916016,,
,0.001,147,,,,
21,,153,,,260.7200012207031,2.433237314224243
21,,153,277.1199951171875,2.4109158515930176,,
,0.001,154,,,,
22,,160,,,260.7200012207031,2.454916000366211
22,,160,276.5199890136719,2.4120988845825195,,
,0.001,161,,,,
23,,167,,,260.7200012207031,2.442594528198242
23,,167,277.0,2.387937545776367,,
,0.001,168,,,,
24,,174,,,260.7200012207031,2.4613070487976074
24,,174,275.44000244140625,2.3746848106384277,,
,0.001,175,,,,
25,,181,,,260.7200012207031,2.466636896133423
25,,181,277.3599853515625,2.372298240661621,,
,0.001,182,,,,
26,,188,,,260.7200012207031,2.5057718753814697
26,,188,276.0400085449219,2.350335121154785,,
,0.001,189,,,,
27,,195,,,260.7200012207031,2.494321823120117
27,,195,279.1600036621094,2.3410468101501465,,
,0.001,196,,,,
28,,202,,,260.7200012207031,2.5027530193328857
28,,202,276.6400146484375,2.3203084468841553,,
,0.001,203,,,,
29,,209,,,260.7200012207031,2.504823923110962
29,,209,275.9200134277344,2.2919368743896484,,
,0.001,210,,,,
30,,216,,,260.7200012207031,2.50882625579834
30,,216,275.79998779296875,2.26802659034729,,
,0.001,217,,,,
31,,223,,,260.7200012207031,2.5436768531799316
31,,223,275.9200134277344,2.2563679218292236,,
,0.0005,224,,,,
32,,230,,,260.7200012207031,2.5104868412017822
32,,230,276.5199890136719,2.233920097351074,,
,0.0005,231,,,,
33,,237,,,260.7200012207031,2.5459439754486084
33,,237,276.0400085449219,2.200500965118408,,
,0.0005,238,,,,
34,,244,,,260.7200012207031,2.581777334213257
34,,244,277.8399963378906,2.1786081790924072,,
,0.0005,245,,,,
35,,251,,,260.7200012207031,2.599137544631958
35,,251,278.32000732421875,2.174854040145874,,
,0.0005,252,,,,
36,,258,,,260.7200012207031,2.6277577877044678
36,,258,276.2799987792969,2.149122714996338,,
,0.0005,259,,,,
37,,265,,,260.7200012207031,2.6582324504852295
37,,265,277.0,2.1316752433776855,,
,0.0005,266,,,,
38,,272,,,260.7200012207031,2.6510977745056152
38,,272,277.239990234375,2.1217141151428223,,
,0.0005,273,,,,
39,,279,,,260.7200012207031,2.691261053085327
39,,279,275.79998779296875,2.107710361480713,,
,0.0005,280,,,,
40,,286,,,260.7200012207031,2.675069570541382
40,,286,277.239990234375,2.0897164344787598,,
