epoch,lr-Adam,step,train/n_events,train/nll,val/n_events,val/nll
,0.001,0,,,,
0,,6,,,260.7200012207031,3.511387348175049
0,,6,277.3599853515625,4.514499187469482,,
,0.001,7,,,,
1,,13,,,260.7200012207031,2.896423101425171
1,,13,274.9599914550781,3.1865179538726807,,
,0.001,14,,,,
2,,20,,,260.7200012207031,2.749891757965088
2,,20,277.8399963378906,2.8247978687286377,,
,0.001,21,,,,
3,,27,,,260.7200012207031,2.7265069484710693
3,,27,276.5199890136719,2.7550172805786133,,
,0.001,28,,,,
4,,34,,,260.7200012207031,2.695565700531006
4,,34,278.44000244140625,2.718480110168457,,
,0.001,35,,,,
5,,41,,,260.7200012207031,2.6654651165008545
5,,41,275.79998779296875,2.6773085594177246,,
,0.001,42,,,,
6,,48,,,260.7200012207031,2.606213092803955
6,,48,278.44000244140625,2.639526605606079,,
,0.001,49,,,,
7,,55,,,260.7200012207031,2.5588581562042236
7,,55,277.7200012207031,2.59149169921875,,
,0.001,56,,,,
8,,62,,,260.7200012207031,2.5218935012817383
8,,62,278.0799865722656,2.5558676719665527,,
,0.001,63,,,,
9,,69,,,260.7200012207031,2.5109243392944336
9,,69,277.8399963378906,2.5275087356567383,,
,0.001,70,,,,
10,,76,,,260.7200012207031,2.4918932914733887
10,,76,276.8800048828125,2.5200088024139404,,
,0.001,77,,,,
11,,83,,,260.7200012207031,2.4758615493774414
11,,83,274.6000061035156,2.506685733795166,,
,0.001,84,,,,
12,,90,,,260.7200012207031,2.4625327587127686
12,,90,279.6400146484375,2.5082221031188965,,
,0.001,91,,,,
13,,97,,,260.7200012207031,2.4674839973449707
13,,97,277.8399963378906,2.5033626556396484,,
,0.001,98,,,,
14,,104,,,260.7200012207031,2.4629828929901123
14,,104,276.2799987792969,2.4924535751342773,,
,0.001,105,,,,
15,,111,,,260.7200012207031,2.4674201011657715
15,,111,277.7200012207031,2.4778671264648438,,
,0.001,112,,,,
16,,118,,,260.7200012207031,2.4686875343322754
16,,118,276.760009765625,2.483039140701294,,
,0.001,119,,,,
17,,125,,,260.7200012207031,2.4652113914489746
17,,125,276.1600036621094,2.466020107269287,,
,0.001,126,,,,
18,,132,,,260.7200012207031,2.4741814136505127
18,,132,278.55999755859375,2.4589991569519043,,
,0.001,133,,,,
19,,139,,,260.7200012207031,2.4668126106262207
19,,139,277.6000061035156,2.4450247287750244,,
,0.001,140,,,,
20,,146,,,260.7200012207031,2.4444925785064697
20,,146,278.32000732421875,2.4287784099578857,,
,0.001,147,,,,
21,,153,,,260.7200012207031,2.453683376312256
21,,153,278.20001220703125,2.416242837905884,,
,0.001,154,,,,
22,,160,,,260.7200012207031,2.4686548709869385
22,,160,275.44000244140625,2.4115097522735596,,
,0.001,161,,,,
23,,167,,,260.7200012207031,2.4500908851623535
23,,167,276.8800048828125,2.3968350887298584,,
,0.001,168,,,,
24,,174,,,260.7200012207031,2.4703528881073
24,,174,276.5199890136719,2.3929100036621094,,
,0.001,175,,,,
25,,181,,,260.7200012207031,2.4569694995880127
25,,181,276.8800048828125,2.3786139488220215,,
,0.001,182,,,,
26,,188,,,260.7200012207031,2.478639602661133
26,,188,275.9200134277344,2.3633596897125244,,
,0.001,189,,,,
27,,195,,,260.7200012207031,2.475520133972168
27,,195,276.0400085449219,2.3464064598083496,,
,0.001,196,,,,
28,,202,,,260.7200012207031,2.4926745891571045
28,,202,275.0799865722656,2.324265956878662,,
,0.001,203,,,,
29,,209,,,260.7200012207031,2.4799695014953613
29,,209,275.55999755859375,2.3122451305389404,,
,0.001,210,,,,
30,,216,,,260.7200012207031,2.531237840652466
30,,216,276.3999938964844,2.2849693298339844,,
,0.001,217,,,,
31,,223,,,260.7200012207031,2.508831262588501
31,,223,277.6000061035156,2.286198139190674,,
,0.0005,224,,,,
32,,230,,,260.7200012207031,2.491908073425293
32,,230,277.4800109863281,2.2647128105163574,,
,0.0005,231,,,,
33,,237,,,260.7200012207031,2.5394411087036133
33,,237,275.55999755859375,2.233888864517212,,
,0.0005,238,,,,
34,,244,,,260.7200012207031,2.536266565322876
34,,244,277.3599853515625,2.2239181995391846,,
,0.0005,245,,,,
35,,251,,,260.7200012207031,2.534045457839966
35,,251,277.239990234375,2.1987624168395996,,
,0.0005,252,,,,
36,,258,,,260.7200012207031,2.5826354026794434
36,,258,276.5199890136719,2.1795499324798584,,
,0.0005,259,,,,
37,,265,,,260.7200012207031,2.6074230670928955
37,,265,276.6400146484375,2.1803066730499268,,
,0.0005,266,,,,
38,,272,,,260.7200012207031,2.614809036254883
38,,272,275.67999267578125,2.1638641357421875,,
,0.0005,273,,,,
39,,279,,,260.7200012207031,2.6241042613983154
39,,279,275.55999755859375,2.1460464000701904,,
,0.0005,280,,,,
40,,286,,,260.7200012207031,2.6404387950897217
40,,286,275.20001220703125,2.138247013092041,,
