epoch,lr-AdamW,step,train/n_events,train/nll,val/n_events,val/nll
,0.0003,0,,,,
0,,1,,,208.0,8.547306060791016
0,,1,505.0843505859375,8.737060546875,,
,0.0003,2,,,,
1,,3,,,208.0,8.09730339050293
1,,3,498.0361328125,8.253854751586914,,
,0.0003,4,,,,
2,,5,,,208.0,7.650209903717041
2,,5,503.45782470703125,7.8225789070129395,,
,0.0003,6,,,,
3,,7,,,208.0,7.184745788574219
3,,7,493.1566162109375,7.38645601272583,,
,0.0003,8,,,,
4,,9,,,208.0,6.699904441833496
4,,9,508.33734130859375,6.936193466186523,,
